Modelo,n,Accuracy,F1_macro,F1_weighted,F1_binary,mean_disparity,max_disparity,mean_abs_spd,max_abs_spd,mean_abs_eod,max_abs_eod,mean_di,min_di
LAMDA clásico,12084,0.7282356835484939,0.7281806134455108,0.7279955522854861,0.7320496083550914,0.055925026611382676,0.055925026611382676,0.17239774222476245,0.17239774222476245,0.03439995117446215,0.041672531838854554,1.062453053299465,0.6851551903343382
Fair-GAD,12084,0.720125786163522,0.7197371267738137,0.7192379153799218,0.7301739269187809,0.016913720994733067,0.016913720994733067,0.1253198500309879,0.12531985003098794,0.012879924625667005,0.02164572741264359,1.033455545114593,0.7499364831565576
Fair-MAD,12084,0.7188017212843429,0.7184807937923026,0.7180261465119119,0.7279859109830291,0.03989060002277202,0.03989060002277202,0.15242492125925577,0.15242492125925577,0.01794976903876455,0.028157314316675452,1.0496589451697447,0.7058024709112967
