Dataset,Modelo,n,Accuracy,F1_macro,F1_weighted,mean_disparity,mean_abs_spd,max_abs_spd,mean_abs_eod,max_abs_eod,mean_di,min_di,F1_binary
Adult,LAMDA clásico,6028,0.76542800265428,0.7127207696917364,0.7744915237369172,0.07799160939203265,0.18173289781881147,0.1817328978188115,0.07963345469747829,0.1011457654470409,1.124920428995606,0.5237989961916343,0.5896691816598956
Adult,Fair-GAD,6028,0.7601194426011945,0.7034026616317357,0.768510772107298,0.02492222450865742,0.11322322931607345,0.11322322931607348,0.01742524092089781,0.03353132855413843,1.0450202421436585,0.6769131115802024,0.5737028301886793
Adult,Fair-MAD,6028,0.7597876575978766,0.7078313587739857,0.7696802022991995,0.06407017524231909,0.1673376161606422,0.16733761616064224,0.059891991118735055,0.08999906898798993,1.0988789803508308,0.5637651901369175,0.5846242111302352
Dutch Census,LAMDA clásico,12084,0.7282356835484939,0.7281806134455108,0.7279955522854861,0.055925026611382676,0.17239774222476245,0.17239774222476245,0.03439995117446215,0.041672531838854554,1.062453053299465,0.6851551903343382,0.7320496083550914
Dutch Census,Fair-GAD,12084,0.720125786163522,0.7197371267738137,0.7192379153799218,0.016913720994733067,0.1253198500309879,0.12531985003098794,0.012879924625667005,0.02164572741264359,1.033455545114593,0.7499364831565576,0.7301739269187809
Dutch Census,Fair-MAD,12084,0.7188017212843429,0.7184807937923026,0.7180261465119119,0.03989060002277202,0.15242492125925577,0.15242492125925577,0.01794976903876455,0.028157314316675452,1.0496589451697447,0.7058024709112967,0.7279859109830291
COMPAS,LAMDA clásico,1056,0.6117424242424242,0.5984686609686609,0.6027549803591469,0.26328304965131416,0.3329779554667111,0.33297795546671116,0.31711647292489986,0.3694991055456172,1.440325834365198,0.3130255470271509,0.6714743589743589
COMPAS,Fair-GAD,1056,0.6117424242424242,0.577656037833029,0.5847005576909706,0.08591477780911769,0.15515575545560553,0.15515575545560556,0.1392330037581607,0.203345259391771,1.1366786267242808,0.49816810344827595,0.6976401179941003
COMPAS,Fair-MAD,1056,0.6107954545454546,0.5970554566799522,0.6014240713859068,0.26295825815622886,0.33205619412515963,0.33205619412515963,0.3167957989414351,0.37223613595706617,1.4456426870219974,0.31034482758620696,0.6714628297362111
