Modelo,n,Accuracy,F1_macro,F1_weighted,F1_binary,mean_disparity,max_disparity,mean_abs_spd,max_abs_spd,mean_abs_eod,max_abs_eod,mean_di,min_di
LogisticRegression,1056,0.6799242424242424,0.6748436748436748,0.6772300020406081,0.7154882154882155,0.5063313374114988,0.5063313374114988,0.2575934255094675,0.2575934255094675,0.22403692420935326,0.29695885509839,1.173866323482636,0.4953769172196236
DecisionTree,1056,0.5880681818181818,0.5876655114191771,0.5884220436839739,0.6005509641873278,0.0066636851520572166,0.0066636851520572166,0.05737131434282858,0.057371314342828605,0.07047906897694678,0.11332737030411444,1.0066085297136054,0.8900383141762452
RandomForest,1056,0.6117424242424242,0.6089016075357983,0.6108586146003628,0.6422338568935427,0.057620751341681556,0.057620751341681556,0.08676772724748738,0.08676772724748738,0.14042827369293012,0.21524150268336312,1.015940107375243,0.8191853737560749
Clase mayoritaria,1056,0.5293560606060606,0.3461300309597523,0.3664520592926166,0.6922600619195046,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
