Dataset,Nº de descriptores,w mínimo,w medio,"Penalizados (w < 0,99)","Penalizados (w < 0,80)"
Adult,87,0.8753037437480217,0.9938073419870932,10,0
Dutch Census,50,0.8845566758354495,0.9854435889253904,13,0
COMPAS,14,0.834398100680677,0.9820818284365535,2,0
OULAD,48,0.9124332020384647,0.9949630417007124,7,0
Communities and Crime,122,0.9581566198265015,0.9978977096443016,7,0
Student Performance,56,0.9882536180154456,0.9986545555292646,4,0
