Modelo,n,Accuracy,F1_macro,F1_weighted,F1_binary,mean_disparity,max_disparity,mean_abs_spd,max_abs_spd,mean_abs_eod,max_abs_eod,mean_di,min_di
LAMDA clásico,1056,0.6117424242424242,0.5984686609686609,0.6027549803591469,0.6714743589743589,0.26328304965131416,0.26328304965131416,0.3329779554667111,0.33297795546671116,0.31711647292489986,0.3694991055456172,1.440325834365198,0.3130255470271509
Fair-GAD,1056,0.6117424242424242,0.577656037833029,0.5847005576909706,0.6976401179941003,0.08591477780911769,0.0859147778091177,0.15515575545560553,0.15515575545560556,0.1392330037581607,0.203345259391771,1.1366786267242808,0.49816810344827595
Fair-MAD,1056,0.6107954545454546,0.5970554566799522,0.6014240713859068,0.6714628297362111,0.26295825815622886,0.26295825815622886,0.33205619412515963,0.33205619412515963,0.3167957989414351,0.37223613595706617,1.4456426870219974,0.31034482758620696
