Dataset,Fair-GAD,Fair-MAD,Diferencia (GAD − MAD)
Adult,0.6804499265634671,0.17849912648598032,0.5019508000774868
COMPAS,0.6736790388788754,0.001233620985154355,0.672445417893721
Communities and Crime,0.21534921446483357,-0.04448999598168969,0.25983921044652325
Dutch Census,0.6975643639427345,0.286712900469985,0.4108514634727495
OULAD,0.6992959172425313,0.05503388487681307,0.6442620323657182
Student Performance,0.0,0.0,0.0
