bloque,n_acumulado,accuracy,f1_macro,f1_weighted,mean_abs_spd,mean_abs_eod,mean_di,mean_disparity
0,212,0.6037735849056604,0.5841972541328103,0.5935598471111299,0.4461055740125508,0.44758597883597884,2.4928304693375702,0.3886175158461981
1,424,0.5990566037735849,0.5641447368421053,0.5763638902681232,0.3682361371148557,0.36475657394461214,2.806737340617691,0.3232613730640019
2,636,0.5911949685534591,0.5684534683438593,0.5749955437466209,0.3525250762296849,0.3430233681510682,1.8079422982733298,0.29508459139116966
3,848,0.597877358490566,0.5763869661584798,0.583812965603075,0.3614802510151347,0.3563569020044832,1.7851800211897368,0.30368091022887095
4,1060,0.6075471698113207,0.584820957804191,0.593251649355223,0.3522382814216053,0.34439806673198137,1.7168339965707704,0.2930589987153984
5,1272,0.6179245283018868,0.5998974813019875,0.6061735643315821,0.3589731800766284,0.34636608181568895,1.672654996503101,0.29598866414784275
6,1484,0.6185983827493261,0.6025724738484717,0.6084880778051629,0.35743589743589743,0.3422135646063334,1.6088339342950242,0.2917478577936097
7,1696,0.6202830188679245,0.6049622765709657,0.610191511965736,0.3494767397448628,0.3332297268958794,1.5610956800468303,0.2828099312901342
8,1908,0.6210691823899371,0.6065109711832619,0.6115091581370523,0.3609565077982606,0.3450613440229773,1.5980493475401112,0.2941906286668549
9,2120,0.6174528301886792,0.6038388451851184,0.6091735874002543,0.3538528340959952,0.340765610762515,1.531439679940883,0.28647895989035976
10,2332,0.6226415094339622,0.6099907560572151,0.6144486405804499,0.3543759362564446,0.33897334834323195,1.529031282070731,0.2860617598822359
11,2544,0.6214622641509434,0.6089534232808734,0.6131871848061279,0.3588741008095847,0.3440014257505561,1.5485751235568639,0.29091007849636497
12,2756,0.6248185776487664,0.6124682326933454,0.6170368562337654,0.3554440549577189,0.34103230104691495,1.5176314573172092,0.286845114949116
13,2968,0.625,0.6121123820400376,0.6170196820395798,0.3564175543761372,0.3424723340270708,1.5317552523946825,0.2884255697360857
14,3180,0.6273584905660378,0.6147631692612026,0.6197136781566682,0.3532918332852373,0.3377036191037649,1.5137620051994825,0.28442586589406227
15,3392,0.6270636792452831,0.6142163324208588,0.6193635731518073,0.3548999169604023,0.33965198581023914,1.5261445238572071,0.286448581808166
16,3604,0.6245837957824639,0.6122409787324696,0.6170015053707255,0.3551785898360994,0.34018077225622284,1.5230775273646926,0.2866467098648877
17,3816,0.6210691823899371,0.6092378988397389,0.61330044801059,0.3577022349593938,0.34179006587408967,1.5369049244116226,0.2890892019430815
18,4028,0.6196623634558094,0.6074664435720482,0.6116577174475943,0.35942028985507246,0.3442250799953209,1.5513799167520133,0.2913838395739706
19,4222,0.6181904310753198,0.6059539543999831,0.6100656737129322,0.36119248688754546,0.3460327233901534,1.5622035863369181,0.2933414024861086
