Modelo,n,Accuracy,F1_macro,F1_weighted,F1_binary,mean_disparity,max_disparity,mean_abs_spd,max_abs_spd,mean_abs_eod,max_abs_eod,mean_di,min_di
LAMDA clásico,6028,0.76542800265428,0.7127207696917364,0.7744915237369172,0.5896691816598956,0.07799160939203265,0.07799160939203265,0.18173289781881147,0.1817328978188115,0.07963345469747829,0.1011457654470409,1.124920428995606,0.5237989961916343
Fair-GAD,6028,0.7601194426011945,0.7034026616317357,0.768510772107298,0.5737028301886793,0.02492222450865742,0.02492222450865742,0.11322322931607345,0.11322322931607348,0.01742524092089781,0.03353132855413843,1.0450202421436585,0.6769131115802024
Fair-MAD,6028,0.7597876575978766,0.7078313587739857,0.7696802022991995,0.5846242111302352,0.06407017524231909,0.06407017524231909,0.1673376161606422,0.16733761616064224,0.059891991118735055,0.08999906898798993,1.0988789803508308,0.5637651901369175
