bloque,n_acumulado,accuracy,f1_macro,f1_weighted,mean_abs_spd,mean_abs_eod,mean_di,mean_disparity
0,32,0.5,0.4417989417989418,0.5158730158730158,0.06926406926406925,0.2533670033670034,1.0407888407888408,0.09231601731601731
1,64,0.4375,0.4025240178418254,0.4341652124613999,0.09235209235209237,0.2573491323491323,1.0431793883946996,0.09581529581529581
2,96,0.4583333333333333,0.4339716312056738,0.45589317375886523,0.045977011494252894,0.043290043290043316,1.0115668634316548,0.0
3,128,0.46875,0.4316790736145575,0.46608832196029776,0.03913630229419706,0.04222522117258961,1.0139425227144525,0.0
4,160,0.44375,0.4133570730344924,0.44347428780896525,0.06916489390716195,0.022049956933677856,1.04382980428704,0.0006245568101238228
5,192,0.453125,0.4182402665587291,0.450755250954719,0.07095984873762652,0.03822751322751322,1.0498419704753301,0.0010732955177399593
6,224,0.48660714285714285,0.4464117332969792,0.4862187754093492,0.055610834715312314,0.03939992739880755,1.034691093902403,0.0
7,256,0.50390625,0.4673438633174159,0.5041193823994801,0.051184110007639415,0.028055481745661675,1.02569001564461,0.0
8,288,0.5138888888888888,0.47650371308907896,0.5135344076655053,0.03528524754963558,0.037237236930391916,1.0136514619231913,0.0
9,320,0.51875,0.4811410183937035,0.5168621994173154,0.027195497933411434,0.05548608895188293,1.0060440087694653,0.0
10,352,0.5198863636363636,0.4798630841722497,0.517461989674712,0.03666443103062821,0.06531796668644045,1.0083208960022962,0.0012767425810904
11,384,0.5078125,0.4743747291270071,0.5047174474666404,0.0332167997801969,0.0666718995121937,1.0061535169283469,0.0005123568414707597
12,416,0.5096153846153846,0.4743887002751781,0.5063978413163999,0.03077911646586347,0.08489209265805336,1.0047027876132981,0.004845446950710111
13,448,0.5178571428571429,0.4849725032661866,0.5159677054442231,0.029108669108669133,0.06336806813263113,1.004845244002433,0.0
14,480,0.51875,0.48526381205932223,0.5162813893002094,0.0395644283121597,0.06160647189632699,1.008876934079642,0.0008730158730158727
15,512,0.521484375,0.48613127882374085,0.5201561285843368,0.03934300993124523,0.05837710789379145,1.008917834148261,0.0002070393374741288
16,519,0.5163776493256262,0.48137980376872375,0.514949500738036,0.039103776998873,0.052721534748646735,1.0093244051589163,0.0
