Modelo,n,Accuracy,F1_macro,F1_weighted,F1_binary,mean_disparity,max_disparity,mean_abs_spd,max_abs_spd,mean_abs_eod,max_abs_eod,mean_di,min_di
LogisticRegression,12084,0.8361469712015889,0.8354000805996349,0.8359304279803836,0.8243123336291038,0.5459606572799336,0.5459606572799336,0.3194483282768028,0.3194483282768028,0.12369578136789211,0.18054992146324644,1.233732669562296,0.48240411103370257
DecisionTree,12084,0.8195961602118503,0.8187451616056731,0.8193392161882462,0.8063255152807391,0.5648108101950176,0.5648108101950176,0.3250627427638725,0.3250627427638725,0.14133479305511226,0.19393532074191244,1.2434389083247597,0.47472378737887416
RandomForest,12084,0.8301059251903343,0.8296174841418134,0.8300538348775864,0.8204948850222961,0.6048200627404916,0.6048200627404916,0.34029303916919207,0.34029303916919207,0.15007156282705564,0.21161402606216173,1.2653906448152545,0.46951723421678626
Clase mayoritaria,12084,0.5239159218801721,0.34379581862612,0.36024020650810423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
