bloque,n_acumulado,accuracy,f1_macro,f1_weighted,mean_abs_spd,mean_abs_eod,mean_di,mean_disparity
0,1260,0.2912698412698413,0.27157621803654114,0.29928838714384354,0.16677251664196835,0.19654851508172988,1.8942598293262132,0.0889226089754355
1,2520,0.2972222222222222,0.2771365172074103,0.3036207595648127,0.1499215070643642,0.18501165430285385,1.5000498696837357,0.08066348607035911
2,3780,0.29365079365079366,0.27432524868645786,0.3009912340610768,0.15315934065934067,0.21189276845120789,1.5297069619433707,0.08980505662501494
3,5040,0.29345238095238096,0.27672536978146073,0.30018336076733726,0.14755891316123537,0.18075301132233862,1.4568046123540874,0.07935790727873418
4,6300,0.293015873015873,0.27785154952910457,0.30041313587497376,0.1498714803131207,0.19480703981564237,1.4849272147879093,0.08986227290939373
5,7560,0.2916666666666667,0.2770059922490562,0.2982352150858997,0.15281786214699533,0.19552425283494143,1.513177909300428,0.08918409583568405
6,8820,0.29297052154195014,0.2783391612255373,0.2988461740132661,0.15145347178977692,0.1991386841790862,1.4961451859993742,0.08459718377104064
7,10080,0.2927579365079365,0.27822011645650824,0.2978589092336081,0.15027068816534628,0.20026066533717612,1.4909590569871147,0.08681856440387509
8,11340,0.2921516754850088,0.27851529250846785,0.29727845435428435,0.15076716340079022,0.20777178675671068,1.4927803489545286,0.09234449557171996
9,12600,0.2914285714285714,0.2785610603196027,0.29649827400810336,0.15266866556724987,0.20337421042662251,1.5016361254527353,0.09310755043365587
10,13860,0.2917748917748918,0.2794709557459239,0.2966099281891038,0.15352600371265346,0.19590073412856973,1.4974747388771399,0.09137392897768798
11,15120,0.2906084656084656,0.2783833195348517,0.2952073844415693,0.15327475918921066,0.18780095235606137,1.4959027665496953,0.08978233384295133
12,16380,0.2887057387057387,0.27673683680407735,0.29365187569785345,0.15251881371698076,0.1827094557323991,1.4772761962408167,0.08626891429959804
13,17640,0.2879251700680272,0.27587141262344433,0.29308078603174453,0.15372260015117156,0.18278547098923326,1.5032658273024964,0.08714101099663216
14,18900,0.2878835978835979,0.2758048090173665,0.29347922718582586,0.15390895741556537,0.1790024010480759,1.516079061566654,0.08538565724758071
15,20160,0.28700396825396823,0.27518042456479974,0.2928702399065482,0.1528259911894273,0.17453283647855178,1.500883755964649,0.08112942376364722
16,21420,0.2868814192343604,0.2752129954646655,0.2926173117814006,0.1515655055272519,0.1745848215829803,1.483756680071676,0.07923898254047157
17,22680,0.285978835978836,0.27442531055792413,0.2915766435594971,0.15212550882734988,0.17526734626644364,1.4916240557010259,0.0786430610259414
18,23940,0.28629908103592316,0.2745102988285949,0.29208532593171843,0.15227072396665947,0.17742201655391776,1.4956628696000318,0.0796816513354049
19,25185,0.28580504268413737,0.2738823679379189,0.2915580110478988,0.15199149465987186,0.17807115281637995,1.492538181220929,0.07974410107782656
