Modelo,n,Accuracy,F1_macro,F1_weighted,F1_binary,mean_disparity,max_disparity,mean_abs_spd,max_abs_spd,mean_abs_eod,max_abs_eod,mean_di,min_di,mean_spd_multiclass,max_spd_multiclass,mean_meo,max_meo
LogisticRegression,399,0.6942355889724311,0.6867400355712897,0.6874673426697205,,0.35412297809486176,0.35412297809486176,0.310719131614654,0.46607869742198094,0.21577166610164897,0.3125541125541125,1.9378844779519524,0.18537549407114626,0.310719131614654,0.310719131614654,0.2544020950800611,0.2544020950800611
DecisionTree,399,0.6040100250626567,0.6009042946762538,0.6013602494770536,,0.21042134118495434,0.21042134118495434,0.24719835167596368,0.37079752751394546,0.1317587273379682,0.1970778117567109,1.49895322583469,0.2968839336763865,0.24719835167596363,0.24719835167596363,0.17864351649439575,0.17864351649439575
RandomForest,399,0.6917293233082706,0.683141672218671,0.6839371825824657,,0.3523347448081576,0.3523347448081576,0.3079551736268154,0.46193276044022313,0.2073979703471294,0.2973156642881414,1.8890625503135066,0.2048112706007443,0.3079551736268154,0.3079551736268154,0.24600382207045582,0.24600382207045582
Clase mayoritaria,399,0.3408521303258145,0.16947040498442367,0.17329304569835804,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
