Dataset,Exactitud LAMDA,Exactitud trivial,F1 macro LAMDA,F1 macro trivial,Mejor estándar (exactitud),Supera trivial (F1 macro),Exactitud bajo trivial
Adult,0.76542800265428,0.7509953550099535,0.7127207696917364,0.42889625769777356,0.8470471134704711,True,False
Dutch Census,0.7282356835484939,0.5239159218801721,0.7281806134455108,0.34379581862612,0.8361469712015889,True,False
COMPAS,0.6117424242424242,0.5293560606060606,0.5984686609686609,0.3461300309597523,0.6799242424242424,True,False
OULAD,0.2871208511989836,0.37573447673495314,0.2706582319661071,0.1365577744430336,0.4435445450214388,True,True
Communities and Crime,0.556390977443609,0.3408521303258145,0.5529716365673284,0.16947040498442367,0.6942355889724311,True,False
Student Performance,0.5076923076923077,0.46153846153846156,0.472058003742406,0.21052631578947367,0.6307692307692307,True,False
