Dataset,Atributo sensible,mayoritaria,LAMDA,mejor_estandar,F1 macro LAMDA,F1 macro mayoritaria,LAMDA_supera_trivial,LAMDA_supera_trivial_F1,estandar_supera_trivial
Adult,sex,0.7509953550099535,0.76542800265428,0.8470471134704711,0.7127207696917364,0.42889625769777356,True,True,True
Dutch Census,sex,0.5239159218801721,0.7282356835484939,0.8361469712015889,0.7281806134455108,0.34379581862612,True,True,True
COMPAS,race,0.5293560606060606,0.6117424242424242,0.6799242424242424,0.5984686609686609,0.3461300309597523,True,True,True
OULAD,disability,0.37573447673495314,0.2871208511989836,0.4435445450214388,0.2706582319661071,0.1365577744430336,False,True,True
Communities and Crime,black,0.3408521303258145,0.556390977443609,0.6942355889724311,0.5529716365673284,0.16947040498442367,True,True,True
Student Performance,sex,0.46153846153846156,0.5076923076923077,0.6307692307692307,0.47205800374240603,0.21052631578947367,True,True,True
