Modelo,n,Accuracy,F1_macro,F1_weighted,F1_binary,mean_disparity,max_disparity,mean_abs_spd,max_abs_spd,mean_abs_eod,max_abs_eod,mean_di,min_di,mean_spd_multiclass,max_spd_multiclass,mean_meo,max_meo
LAMDA clásico,399,0.556390977443609,0.5529716365673284,0.5531129516833212,,0.1230158554522971,0.1230158554522971,0.25363083572038797,0.38044625358058193,0.12638228962545386,0.32755691471287807,1.6068865832472168,0.2234189875365441,0.25363083572038797,0.25363083572038797,0.2864699206135745,0.2864699206135745
Fair-GAD,399,0.543859649122807,0.5438333889922554,0.5436308556803009,,0.09652448761392542,0.09652448761392542,0.22347856676214883,0.3352178501432233,0.12929989953847665,0.27251104315324504,1.4446552310279133,0.2706248974905691,0.22347856676214883,0.22347856676214883,0.2503262951785856,0.2503262951785856
Fair-MAD,399,0.5488721804511278,0.5469384831086959,0.5470608300555508,,0.1284888303670539,0.1284888303670539,0.2568973315241972,0.3853459972862958,0.15372091083831055,0.35541963982330954,1.675610466538852,0.20522388059701493,0.2568973315241972,0.2568973315241972,0.30327484638718105,0.30327484638718105
