Dataset,Modelo,n,Accuracy,F1_macro,F1_weighted,mean_disparity,mean_abs_spd,max_abs_spd,mean_abs_eod,max_abs_eod,mean_di,min_di,mean_spd_multiclass,mean_meo
OULAD,LAMDA clásico,6297,0.2871208511989836,0.2706582319661071,0.29353981170664956,0.0919746957733219,0.1603133552217289,0.3206267104434578,0.19552708746849595,0.4180551761813712,1.7197736874717549,0.1490945018446306,0.1603133552217289,0.36417183593654945
OULAD,Fair-GAD,6297,0.33746228362712405,0.3055672062570331,0.34151600881647914,0.027657166529414027,0.07712689064647336,0.15425378129294673,0.11100060261630107,0.2670035509423655,1.276870480056366,0.26697156192949767,0.07712689064647336,0.20468174453622734
OULAD,Fair-MAD,6297,0.27648086390344606,0.2654888102362766,0.28315026388657505,0.08691297095455304,0.15775783883117553,0.315515677662351,0.1889472188557406,0.41231903851406715,1.6816609725976632,0.15114463961300154,0.1577578388311755,0.35877998531295374
Communities and Crime,LAMDA clásico,399,0.556390977443609,0.5529716365673284,0.5531129516833212,0.1230158554522971,0.25363083572038797,0.38044625358058193,0.12638228962545386,0.32755691471287807,1.6068865832472168,0.2234189875365441,0.25363083572038797,0.2864699206135745
Communities and Crime,Fair-GAD,399,0.543859649122807,0.5438333889922554,0.5436308556803009,0.09652448761392542,0.22347856676214883,0.3352178501432233,0.12929989953847665,0.27251104315324504,1.4446552310279133,0.2706248974905691,0.22347856676214883,0.2503262951785856
Communities and Crime,Fair-MAD,399,0.5488721804511278,0.5469384831086959,0.5470608300555508,0.1284888303670539,0.2568973315241972,0.3853459972862958,0.15372091083831055,0.35541963982330954,1.675610466538852,0.20522388059701493,0.2568973315241972,0.30327484638718105
Student Performance,LAMDA clásico,130,0.5076923076923077,0.47205800374240603,0.5034013505109278,0.01772486772486774,0.07460317460317462,0.11190476190476195,0.11757170704539126,0.1825396825396826,1.029535825462599,0.7080745341614906,0.07460317460317462,0.13208616780045354
Student Performance,Fair-GAD,130,0.5076923076923077,0.47205800374240603,0.5034013505109278,0.01772486772486774,0.07460317460317462,0.11190476190476195,0.11757170704539126,0.1825396825396826,1.029535825462599,0.7080745341614906,0.07460317460317462,0.13208616780045354
Student Performance,Fair-MAD,130,0.5076923076923077,0.47205800374240603,0.5034013505109278,0.01772486772486774,0.07460317460317462,0.11190476190476195,0.11757170704539126,0.1825396825396826,1.029535825462599,0.7080745341614906,0.07460317460317462,0.13208616780045354
