bloque,n_acumulado,accuracy,f1_macro,f1_weighted,mean_abs_spd,mean_abs_eod,mean_di,mean_disparity
0,1206,0.7686567164179104,0.7253262258213299,0.7758030812553423,0.2033341069080219,0.06139178995109762,1.1558088715604187,0.09734252741171492
1,2412,0.7574626865671642,0.7077253253555147,0.7659105398784896,0.1665022766886003,0.07848148804515614,1.0988063812740725,0.0635998997738913
2,3618,0.7529021558872305,0.6996017960968661,0.7626948729090822,0.1631068818347321,0.05521941007858211,1.0945583880463752,0.06066381172501011
3,4824,0.7543532338308457,0.7018082767498623,0.7641356776923424,0.1693964299506257,0.04992094261741331,1.101878748488967,0.06593499373106752
4,6030,0.7570480928689884,0.7070565385738653,0.766701219170054,0.1722582108738941,0.05603300906327097,1.1036307457492522,0.0679127917564888
5,7236,0.7603648424543947,0.7090853074542667,0.7698510500482301,0.1776786476341436,0.06214535902021345,1.1139707891579396,0.07365002214210219
6,8442,0.7592987443733712,0.7073071253071253,0.7692937605176411,0.17350094181281772,0.058810408392386104,1.1070886523947125,0.06946939740768841
7,9648,0.7599502487562189,0.7073599277403981,0.7695939506539856,0.1725574403282193,0.06466956810239993,1.1075960590436666,0.0692863226288984
8,10854,0.7588907315275475,0.7059071583129063,0.7682637751936929,0.1687567010742742,0.07284460684943006,1.1030730076633628,0.06617046712597911
9,12060,0.7603648424543947,0.7072744336577408,0.7698541328117405,0.16676035750228835,0.07101875491017073,1.1004539826138198,0.06415508565107925
10,13266,0.7599879390924167,0.7069885640549002,0.7694004477396326,0.1608419348358454,0.07128609494946725,1.092583939851763,0.058912933702092135
11,14472,0.7600884466556108,0.7071303683991382,0.7696921540547372,0.1639249934281625,0.07107833047049755,1.0961603369914314,0.06152595452388492
12,15678,0.7611940298507462,0.7081865842183088,0.770808669794852,0.16286273752108615,0.06822032898469704,1.09495670016081,0.06063667302363902
13,16884,0.7607794361525705,0.7074089225239517,0.7706897284488845,0.16198613003476522,0.06802911307785026,1.0934869407378682,0.05977347663186748
14,18090,0.761249309010503,0.7077990696561007,0.7712181206155699,0.16230120665375913,0.06182739551040245,1.0938894667062014,0.06005096812303788
15,19296,0.7600538971807629,0.7066666414507714,0.7700542796316432,0.16252087273911478,0.05739039874317786,1.0937917881686572,0.060143855874062124
16,20502,0.7601697395376061,0.7078372228514135,0.7700668998328742,0.1675206634344183,0.05711835698755413,1.099708419936023,0.06437886622000716
17,21708,0.7606873042196425,0.7085011137206695,0.7704654679484103,0.16851116737038052,0.052840093192666304,1.1013082379401569,0.06531483586705092
18,22914,0.7604521253382212,0.708323215083931,0.7701977077136233,0.16808064025645608,0.05343248894594094,1.1006908898525225,0.06492819400667552
19,24111,0.7596947451370744,0.7071009805003271,0.7693929591505452,0.1665229020056952,0.05053252457528118,1.0989880760789505,0.06365716770380891
