Modelo,n,Accuracy,F1_macro,F1_weighted,F1_binary,mean_disparity,max_disparity,mean_abs_spd,max_abs_spd,mean_abs_eod,max_abs_eod,mean_di,min_di,mean_spd_multiclass,max_spd_multiclass,mean_meo,max_meo
LAMDA clásico,6297,0.2871208511989836,0.2706582319661071,0.29353981170664956,,0.0919746957733219,0.0919746957733219,0.1603133552217289,0.3206267104434578,0.19552708746849595,0.4180551761813712,1.7197736874717549,0.1490945018446306,0.1603133552217289,0.1603133552217289,0.36417183593654945,0.36417183593654945
Fair-GAD,6297,0.33746228362712405,0.3055672062570331,0.34151600881647914,,0.027657166529414027,0.027657166529414027,0.07712689064647336,0.15425378129294673,0.11100060261630107,0.2670035509423655,1.276870480056366,0.26697156192949767,0.07712689064647336,0.07712689064647336,0.20468174453622734,0.20468174453622734
Fair-MAD,6297,0.27648086390344606,0.2654888102362766,0.28315026388657505,,0.08691297095455304,0.08691297095455304,0.15775783883117553,0.315515677662351,0.1889472188557406,0.41231903851406715,1.6816609725976632,0.15114463961300154,0.1577578388311755,0.1577578388311755,0.35877998531295374,0.35877998531295374
