Modelo,n,Accuracy,F1_macro,F1_weighted,F1_binary,mean_disparity,max_disparity,mean_abs_spd,max_abs_spd,mean_abs_eod,max_abs_eod,mean_di,min_di,mean_spd_multiclass,max_spd_multiclass,mean_meo,max_meo
LogisticRegression,130,0.5692307692307692,0.5143138704114314,0.5605526181135937,,0.16322751322751322,0.16322751322751322,0.14126984126984124,0.21190476190476187,0.17951824004455585,0.3253968253968254,1.1144247777614917,0.5055555555555556,0.14126984126984124,0.14126984126984124,0.2443310657596372,0.2443310657596372
DecisionTree,130,0.5076923076923077,0.49029987483709475,0.5164051496446107,,0.06776663881927036,0.06776663881927036,0.030158730158730163,0.045238095238095244,0.13443330548593704,0.2936507936507936,1.0058161349277246,0.8623188405797101,0.030158730158730163,0.030158730158730163,0.17743764172335597,0.17743764172335597
RandomForest,130,0.6307692307692307,0.5512018588201427,0.6006832967168542,,0.10253411306042885,0.10253411306042885,0.09682539682539683,0.14523809523809528,0.17793093845725425,0.25396825396825395,1.039077389077389,0.7000000000000001,0.09682539682539683,0.09682539682539683,0.16439909297052155,0.16439909297052155
Clase mayoritaria,130,0.46153846153846156,0.21052631578947367,0.291497975708502,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
