Modelo,n,Accuracy,F1_macro,F1_weighted,F1_binary,mean_disparity,max_disparity,mean_abs_spd,max_abs_spd,mean_abs_eod,max_abs_eod,mean_di,min_di,mean_spd_multiclass,max_spd_multiclass,mean_meo,max_meo
LogisticRegression,6297,0.4435445450214388,0.3063893622953123,0.3959287321712704,,0.15829975278329642,0.15829975278329642,0.1332788009398846,0.26391396423436914,0.14540192140331598,0.2617831031204891,0.9603529785989698,0.0,0.13327880093988462,0.13327880093988462,0.2521143976833179,0.2521143976833179
DecisionTree,6297,0.34190884548197553,0.28982074388731316,0.3390316073415698,,0.0,0.0,0.03186340102214996,0.06309425268366703,0.03160107168060193,0.07257571273552332,1.0215717114523162,0.701297372281033,0.03186340102214996,0.03186340102214996,0.06356115521678563,0.06356115521678563
RandomForest,6297,0.39129744322693344,0.31339618313302886,0.3758856577165975,,0.05764598470712924,0.05764598470712924,0.09281869766120815,0.18563739532241624,0.09118650574042975,0.16463602117097564,1.0782726170396852,0.6071696094168004,0.09281869766120814,0.09281869766120814,0.17112857646085675,0.17112857646085675
Clase mayoritaria,6297,0.37573447673495314,0.1365577744430336,0.20523785569777195,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
