Modelo,n,Accuracy,F1_macro,F1_weighted,F1_binary,mean_disparity,max_disparity,mean_abs_spd,max_abs_spd,mean_abs_eod,max_abs_eod,mean_di,min_di
LogisticRegression,6028,0.8437292634372926,0.7765047851887981,0.838035720209955,0.6539309331373989,0.34387256737991806,0.34387256737991806,0.18103081144712152,0.18103081144712152,0.10395637084200374,0.13286634625217303,1.402702304864021,0.30718283438657995
DecisionTree,6028,0.8133709356337093,0.74737581341058,0.8121928338088888,0.6182558534102477,0.2898604516962783,0.2898604516962783,0.18179466936653532,0.18179466936653532,0.06684133606497467,0.10195822859448223,1.2494778206902528,0.391727285406301
RandomForest,6028,0.8470471134704711,0.78713499029858,0.843824822918387,0.6742049469964664,0.3165979495295882,0.3165979495295882,0.18484859442107504,0.18484859442107507,0.06443847511841438,0.08887626850386365,1.3317233004973323,0.34089012567196353
Clase mayoritaria,6028,0.7509953550099535,0.42889625769777356,0.64419819462436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
